National Point Estimate,Sample Size
53.2,4846.0
59.3,946.0
40.4,4225047.5
38.2,19145.3
26.7,1080.4
23.2,1428.0
11.3,2322.0
16.9,2344.0
22.9,4538.3
22.6,3422.0
23.6,4153.6
24.0,4215.8
15.4,13704.5
11.7,13736.0
9.8,14001.9
61.1,1500.6
29.2,10224.0
37.6,7386.4
7.1,5296.0
16.9,91943.0
7.2,2544637.5
8.7,2949334.0
15.1,17859.8
17.3,1480.9
17.9,1346.3
20.9,1373.7
9.4,1572.8
0.0,1036810.0
1.9,980.6
28.0,500.0
24.2,1751.0
18.0,2426.0
26.5,2046.6
17.8,3560687.3
13.9,2033.0
13.6,673.0
70.9,2675.0
63.4,1914.0
73.6,32493.0
71.5,36997.0
69.2,42826.0
67.3,63753.0
65.8,87051.0
63.8,81067.0
59.6,4936.7
59.3,49496.0
59.9,49374.0
51.1,5514.6
53.2,63444.0
51.4,53315.0
47.8,86999.0
50.5,6094.1
45.9,74758.0
45.1,24302.0
43.2,5354.5
41.3,7958.1
42.0,19421.7
38.7,4029.0
36.2,7377.1
30.9,8110.1
28.0,22055.3
7.7,398.7
4.5,3028.5
1.6,170.4
22.0,724.6
19.3,1780.1
15.0,2409.6
32.4,2340.9
36.2,4122.4
37.4,1002975.9
34.0,11938.7
32.2,12776.9
60.9,3273.0
47.7,2982.0
34.9,2123.0
33.5,5805.5
41.9,2561.0
34.4,2915.4
33.2,5874.1
32.4,9877.9
27.1,8486.4
18.2,709514.9
16.1,5205.7
12.1,2581.0
11.8,3130.6
8.9,2136.7
29.1,173247.0
28.9,2495.6
19.8,16161182.0
13.0,3889.8
7.0,12436795.0
7.2,10919295.0
19.7,1126.0
8.8,308.0
9.2,2465.0
38.7,4368.2
41.4,3844.4
34.9,10330.6
34.7,7121.3
34.6,47234.4
32.8,18150.0
31.3,15297.1
29.0,15861.3
30.1,20411.3
26.8,9669.8
21.1,19430.7
24.9,23844.3
23.8,21642.9
19.6,16686.2
52.3,1929.5
64.0,2314.0
57.7,7065.0
57.6,3608.9
55.9,6444.2
56.6,20707.4
54.0,11951.4
50.9,27048.7
55.8,24753.0
26.8,9450.0
21.4,1610.0
58.6,2089.1
49.0,3541.8
42.8,3621.5
39.5,49818908.0
39.8,4019.9
32.4,4936.3
21.9,4153.2
31.6,2405.7
36.6,1973.5
35.6,3771.3
37.6,5923.300293
32.6,5921.6
31.7,6722.5
28.9,5294.7
39.5,2351.9
44.4,11374.4
43.6,7514.2
40.7,10194.0
39.7,15272.0
38.0,13034.7
37.5,15438.0
39.8,8598.5
40.2,12085.1
44.5,5738.2
38.9,5166.1
44.4,4750.2
38.7,12452.6
39.8,11005.4
32.1,91153.0
32.5,12330.6
37.8,21423.3
30.5,13850.1
31.1,13575.1
28.0,12385.0
13.5,196467.0
4.2,1181816.0
3.7,1148353.0
3.3,1063064.0
3.1,1031657.0
2.8,1002454.0
2.5,1022552.0
2.5,1022896.0
2.4,1008335.0
2.2,973578.0
2.1,946528.0
2.0,964033.0
1.8,988663.0
1.8,839435.0
38.3,76130.0
32.3,4332.0
38.0,5535.0
31.2,2832.0
19.8,13838.0
17.8,16460.0
21.8,16564.0
11.7,15987.0
9.8,10726.0
9.0,10635.0
9.4,15399.0
8.1,28839.0
25.8,1325.9
21.8,1973.0
19.6,4451.6
18.2,4094.0
16.0,12700.3
12.6,15744.2
12.7,3811851.0
38.5,1954.0
38.7,956.0
46.9,3754.4
31.1,2967.2
30.1,2429.0
31.2,4606.6
24.4,4613.1
21.2,8644.5
8.2,1008.0
9.0,311741.8
7.0,1571.0
7.1,5225.6
3.1,32345.0
2.7,16467.0
19.6,993.1
30.9,3391.1
31.2,1664.6
39.0,854.0
29.9,3616.8
21.6,8777.4
23.4,4901.0
63.9,1263.0
51.0,4175.0
44.7,5233.5
43.1,4795.0
32.4,2172.0
19.1,2270.0
51.0,4362.0
44.4,8746.9
45.8,3767.7
43.4,10557.4
42.7,9176.2
41.8,20932.2
28.0,3750.0
31.0,3240.0
28.0,2377284845568.0
20.9,534919.4
22.3,1818.6
21.1,2949.1
13.5,3521.6
7.7,1837.9
11.6,10498.6
8.4,3788720640.0
10.1,10649.8
7.1,3655.9
6.7,8240.6
40.2,7798.0
27.9,1353570.6
29.2,5252.0
25.9,1437268.3
25.4,1616050.9
23.9,1518837.5
23.0,1582354.5
36.3,2071.5
34.9,3512.0
31.1,7504.5
34.8,10054.7
30.9,3328.0
26.3,3997.0
24.4,10518.5
20.2,5872.8
23.9,12531.4
30.7,9641.4
22.3,14390.4
36.7,1991.0
31.6,7777.0
32.3,13749.0
24.6,6352.0
20.8,605248.1
13.6,7220.1
42.7,2307.7
35.0,33334.0
26.2,1094.0
44.1,2320.0
43.0,5545.2
52.5,6547.1
1.2,75178.8
36.5,3367.1
29.2,2990.4
30.9,2562.1
25.5,2620.8
66.9,20230.0
57.4,10642.4
50.0,4708.9
44.4,10985.9
40.4,4991.7
38.3,10374.1
36.8,5278.7
4.3,618.0
7.3,750.0
7.2,2008.1
25.9,3156.9
17.0,3919.8
14.4,6465.0
36.1,2401.0
24.1,2600.4
27.7,6368.4
23.4,11420.5
25.1,4650.4
21.1,7203.9
24.6,3488.4
19.0,9686.3
13.6,1316.5
17.5,3938.0
16.1,3434.0
14.6,1858.6
11.8,3104191.3
5.8,1969.0
1.2,4191.2
1.3,447.8
35.2,1976.0
32.8,1858.0
34.7,1376795.9
30.6,2603.7
35.5,3243.0
27.9,3199.6
28.4,2593.3
22.8,7337.0
18.8,2909.0
17.5,8639.4
1.5,2263.0
62.2,2223.0
55.4,7903.0
53.1,3666.2
51.0,1620287.0
54.8,5604.5
51.5,9283.9
43.4,852.0
46.7,12595.2
46.0,5204.0
35.3,3542.0
31.1,3022.8
39.3,2847.7
34.0,7357.5
34.4,7975.0
31.1,3633.3
32.4,7080.4
30.3,3975.4
33.8,4407.4
32.0,12143.6
26.4,5275.8
27.6,7446.4
27.7,7369.3
28.1,6257.4
14.7,16260.0
14.0,289.0
13.9,2531.2
17.9,2147.5
19.3,1597.0
11.3,3060.6
9.5,2610.1
40.1,1843.0
37.1,2865.6
28.8,6221.7
29.6,2885.3
22.0,4565.2
21.9,6617.9
43.3,3244.0
42.7,5454.0
45.7,1875.0
43.3,1448.1
35.5,5637.0
29.8,9670.9
22.6,10193.0
18.7,8171.4
62.7,13548.0
61.9,2948.0
57.1,26172.9
45.9,22959.0
51.0,25095.7
47.8,47791.6
37.9,226442.9
34.7,36230.0
35.5,201290.3
48.1,9227.0
42.3,104293.0
